CMCO;Columbus McKinnon Corporation;18.49;$371.68M;1996;Capital Goods;Construction/Ag Equipment/Trucks;http://www.nasdaq.com/symbol/cmco;;;;0.976477009
ECACR;E-compass Acquisition Corp.;n/a;n/a;2015;Finance;Business Services;http://www.nasdaq.com/symbol/ecacr;;;;0.825659206
ROCK;Gibraltar Industries, Inc.;26.31;$816.67M;1993;Capital Goods;Steel/Iron Ore;http://www.nasdaq.com/symbol/rock;;;;0.173944002
CISG;CNinsure Inc.;9.46;$544.22M;2007;Finance;Specialty Insurers;http://www.nasdaq.com/symbol/cisg;;;;0.457361657
MAR;Marriott International;76.52;$19.68B;n/a;Consumer Services;Hotels/Resorts;http://www.nasdaq.com/symbol/mar;;;;0.509119072
XELB;Xcel Brands, Inc;7.2399;$130.3M;n/a;Miscellaneous;Multi-Sector Companies;http://www.nasdaq.com/symbol/xelb;;;;0.560638553
GAINP;Gladstone Investment Corporation;25.45;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/gainp;;;;0.593769845
RNWK;RealNetworks, Inc.;4.14;$149.77M;1997;Technology;EDP Services;http://www.nasdaq.com/symbol/rnwk;;;;0.81703233
SIAL;Sigma-Aldrich Corporation;139.91;$16.79B;n/a;Consumer Durables;Specialty Chemicals;http://www.nasdaq.com/symbol/sial;;;;0.229825756
QLGC;QLogic Corporation;12.5;$1.05B;n/a;Technology;Computer Communications Equipment;http://www.nasdaq.com/symbol/qlgc;;;;0.852090301
FCAN;First Trust Canada AlphaDEX Fund;23.9714;$9.59M;n/a;n/a;n/a;http://www.nasdaq.com/symbol/fcan;;;;0.067186769
LBTYK;Liberty Global plc;44.2;$38.03B;n/a;Consumer Services;Television Services;http://www.nasdaq.com/symbol/lbtyk;;;;0.309900136
MEILW;METHES ENERGIES INTERNATIONAL LTD;0.045;n/a;2012;Basic Industries;Major Chemicals;http://www.nasdaq.com/symbol/meilw;;;;0.520072018
OLBK;Old Line Bancshares, Inc.;17.93;$188.88M;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/olbk;;;;0.212095593
PEIX;Pacific Ethanol, Inc.;4.51;$191.77M;n/a;Basic Industries;Major Chemicals;http://www.nasdaq.com/symbol/peix;;;;0.307341884
CNAT;Conatus Pharmaceuticals Inc.;3.71;$73.16M;2013;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/cnat;;;;0.891622895
FTCS;First Trust Capital Strength ETF;38.3188;$120.7M;n/a;n/a;n/a;http://www.nasdaq.com/symbol/ftcs;;;;0.459466811
TRNS;Transcat, Inc.;9.52;$65.54M;n/a;Capital Goods;Electrical Products;http://www.nasdaq.com/symbol/trns;;;;0.816795422
HDS;HD Supply Holdings, Inc.;29.7;$5.91B;2013;Consumer Services;Office Equipment/Supplies/Services;http://www.nasdaq.com/symbol/hds;;;;0.989151972
PRAA;PRA Group, Inc.;40.25;$1.95B;2002;Finance;Finance: Consumer Services;http://www.nasdaq.com/symbol/praa;;;;0.627161705
MKTO;Marketo, Inc.;30.34;$1.3B;2013;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/mkto;;;;0.625556954
